Quote on 9/18/19 02:01:20

23
Symbol,Last,Bid,Ask,Close,Open,High,Low,Volume
AAP,166.78,161.03,170.95,163.83,164.05,167.2082,163.30,"1,141,761"
AAPL,209.15,209.15,209.22,210.52,209.84,212.65,208.13,"30,472,264"
ACN,179.39,178.11,179.30,181.31,181.00,182.33,178.49,"1,776,122"
ADBE,279.64,279.20,280.00,283.35,283.14,284.59,278.15,"2,458,958"
ADI,116.96,116.20,117.20,114.70,114.83,117.42,114.55,"2,218,229"
ADP,158.42,155.60,158.37,157.48,157.46,159.18,155.80,"2,063,077"
ADS,154.62,152.12,164.99,156.57,156.13,156.985,153.61,"570,420"
ADSK,173.36,172.86,174.78,173.97,173.64,174.66,171.325,"995,787"
AGN,144.25,141.77,146.39,145.33,144.66,145.47,142.32,"2,289,784"
ALGN,325.88,319,339.15,321.34,320.7,332,318.555,"1,124,365"
ALL,98.29,95.51,99.50,98.00,98.98,100.00,97.18,"1,839,013"
ALXN,133.13,123.59,133.47,134.14,133.71,135.41,132.21,"1,272,297"
AMGN,176.50,174.50,177.99,176.14,176.06,178.30,174.30,"2,955,847"
AMP,147.37,147.00,148.40,146.60,146.15,148.15,145.20,"933,887"
AMT,192.80,190.46,192.79,192.91,193.28,193.73,192.14,"1,354,212"
AMZN,1900.82,1900.42,1901.77,1911.52,1913.33,1921.55,1881.87,"3,875,348"
ANTM,261.59,250.11,264.89,260.72,260.77,262.01,255.43,"1,565,525"
APD,207.65,201.18,207.65,202.15,202.46,207.72,201.40,"1,366,020"
AVGO,315.82,313.51,315.60,318.90,319.98,322.185,314.23,"1,964,668"
AXP,117.25,114.00,117.98,117.02,117.00,117.65,116.68,"2,519,556"
AYX,95.46,95.20,96.00,87.51,87.94,98.85,87.01,"2,996,066"
BA,375.80,375.40,375.80,376.80,375.50,377.65,373.25,"2,415,381"
BABA,190.39,190.20,190.39,189.31,189.42,192.70,186.65,"11,440,348"
BDX,236.67,232.00,241.71,235.65,235.63,237.69,234.31,"897,412"
BIDU,166.24,165.50,166.15,165.42,165.76,167.65,164.00,"1,842,323"
BIIB,230.52,230.09,233.00,229.50,229.83,234.49,229.22,"1,960,477"
CAT,135.17,134.77,135.40,138.15,138.52,138.54,134.38,"5,241,548"
CB,144.33,144.32,145.60,144.23,144.49,145.34,143.31,"1,303,691"
CCI,124.03,121.70,124.03,124.45,124.53,125.29,123.77,"1,139,538"
CHTR,370.41,346.77,400.00,371.04,370.97,371.63,365.90,"651,909"
CI,158.22,156.00,158.30,162.00,163.78,163.99,152.50,"4,869,733"
CME,172.80,170.14,173.20,175.30,174.92,174.92,172.56,"2,471,385"
CMI,166.17,160.00,166.77,165.47,165.23,166.60,163.80,"1,207,818"
COST,242.69,242.22,243.00,241.59,241.76,242.885,240.42,"1,231,194"
COUP,102.56,101.25,103.00,102.07,101.80,103.6545,99.8101,"558,548"
CRM,161.83,160.01,161.97,162.15,161.69,162.70,159.63,"3,163,474"
CVX,116.38,116.39,116.48,117.81,117.28,118.475,116.28,"9,226,030"
DE,164.12,162.40,167.00,164.54,164.99,166.65,162.15,"1,629,400"
DG,124.63,121.00,124.60,123.82,124.18,125.06,123.69,"978,648"
DHR,133.51,123.00,133.51,131.56,131.74,133.56,131.22,"1,699,800"
DIS,134.14,134.14,134.25,136.38,135.38,135.69,132.38,"16,519,530"
DLR,118.80,116.84,120.85,117.64,117.97,120.81,117.30,"1,528,279"
DLTR,109.45,109.01,111.03,109.65,109.75,110.20,108.2247,"1,482,337"
DRI,117.81,115.02,117.99,115.53,116.26,118.31,116.07,"1,729,765"
ECL,184.32,147.71,184.31,182.38,182.51,184.32,181.635,"887,865"
EDU,95.74,94.00,97.50,93.85,93.97,97.9899,93.97,"1,466,841"
EL,170.25,168.20,170.85,170.30,168.80,170.46,166.69,"2,309,310"
ETR,96.22,94.28,98.00,95.89,96.07,96.96,95.255,"1,342,080"
EW,178.66,167.00,184.95,175.39,175.93,178.66,174.8272,"1,015,135"
EXAS,101.65,98.51,101.60,97.22,96.57,101.80,95.988,"2,283,321"
EXPE,128.23,122.39,122.99,128.81,128.56,128.93,126.47,"2,053,406"
FANG,99.12,98.75,99.50,101.37,99.87,102.14,99.03,"1,753,702"
FB,192.53,192.21,192.36,193.03,193.00,194.00,189.75,"13,065,880"
FDX,187.04,182.50,189.49,185.62,185.36,188.08,182.81,"1,473,812"
FIS,117.80,108.00,117.81,115.22,116.31,117.82,115.83,"5,328,741"
FISV,85.46,84.31,91.54,85.93,85.69,86.285,84.63,"2,953,670"
FIVE,143.58,140.00,143.89,142.30,142.36,144.00,140.80,"690,082"
GD,174.57,170.00,175.00,176.39,175.81,176.35,172.80,"2,028,212"
GOOG,1162.61,1161.00,1162.50,1168.08,1167.76,1174.1895,1155.0018,"1,940,182"
GOOGL,1166.51,1164.20,1166.50,1173.32,1172.60,1179.38,1158.33,"2,234,613"
GPN,144.33,126.79,147.58,144.08,144.04,146.35,142.06,"1,791,415"
GS,204.99,202.71,205.10,204.73,204.43,206.22,203.12,"1,491,405"
GWR,88.83,88.77,88.82,87.32,87.10,88.92,86.64,"231,179"
HCA,125.52,121.56,128.48,124.09,124.31,125.75,122.72,"2,793,432"
HD,201.01,200.00,201.25,198.80,199.30,201.06,198.80,"2,651,824"
HON,171.38,170.00,172.51,170.94,170.41,171.54,169.56,"4,314,771"
HSY,122.54,121.45,122.73,122.92,122.90,125.50,121.63,"1,538,520"
HUM,247.38,239.00,251.00,246.16,247.13,248.75,240.34,"1,750,859"
IBM,139.59,139.40,141.04,140.56,140.50,141.28,139.41,"3,046,301"
IFF,138.65,137.5,143,137.82,137.63,138.71,136.745,"996,297"
ILMN,312.69,308.00,315.00,310.12,309.22,314.90,308.63,"760,674"
INTU,245.95,241.12,249.00,243.85,243.60,247.90,243.1104,"1,453,353"
IQV,136.14,125.62,140.24,134.99,134.41,136.21,132.73,"1,403,213"
IR,123.27,121.21,125.32,122.05,122.22,123.46,121.19,"1,370,168"
ITW,154.60,140.00,156.51,154.35,153.92,154.83,152.52,"971,735"
