Quote on 9/18/19 01:59:26,,,,,,,,
,,,,,,,,
23,,,,,,,,
Symbol,Last,Bid,Ask,Close,Open,High,Low,Volume
AAP,166.78,161.03,170.95,166.78,0,0,0,0
AAPL,209.15,210.42,210.53,209.15,0,0,0,"328,350"
ACN,179.39,176.5,177.25,179.39,0,0,0,"5,040"
ADBE,279.64,281.59,282.4,279.64,0,0,0,"5,047"
ADI,116.96,117.26,117.7,116.96,0,0,0,504
ADP,158.42,154.43,159.44,158.42,0,0,0,2
ADS,154.62,152.12,170,154.62,0,0,0,0
ADSK,173.36,173.08,175.58,173.36,0,0,0,0
AGN,144.25,142,144.97,144.25,0,0,0,3
ALGN,325.88,326,329.76,325.88,0,0,0,133
ALL,98.29,95,99.5,98.29,0,0,0,1
ALXN,133.13,133.47,135.74,133.13,0,0,0,98
AMGN,176.5,176.5,178,176.5,0,0,0,136
AMP,146.4,129.07,161.81,146.4,0,0,0,25
AMT,192.8,191.76,194,192.8,0,0,0,431
AMZN,1900.82,1947,1948.84,1900.82,0,0,0,"279,466"
ANTM,261.59,262,267,261.59,0,0,0,72
APD,207.65,206,208.2,207.65,0,0,0,202
AVGO,315.82,315,317.5,315.82,0,0,0,"6,823"
AXP,117.25,117.61,117.99,117.25,0,0,0,"4,019"
AYX,95.46,95.8,96.86,95.46,0,0,0,"1,097"
BA,375.8,376.55,376.89,375.8,0,0,0,"9,546"
BABA,190.39,192.1,192.2,190.39,0,0,0,"98,076"
BDX,236.67,225.1,246,236.67,0,0,0,47
BIDU,166.24,167.15,167.47,166.24,0,0,0,"5,071"
BIIB,230.52,231.5,232.95,230.52,0,0,0,"6,470"
CAT,135.17,135.7,136.05,135.17,0,0,0,"11,136"
CB,144.33,120.1,145.6,144.33,0,0,0,1
CCI,124.03,121.8,137.21,124.03,0,0,0,47
CHTR,370.41,346.77,380,370.41,0,0,0,0
CI,158.22,157.52,159.9,158.22,0,0,0,265
CME,172.8,170.7,176.56,172.8,0,0,0,259
CMI,166.17,166.59,168,166.17,0,0,0,401
COST,242.69,240.5,243.5,242.69,0,0,0,"1,490"
COUP,102.56,102.6,104,102.56,0,0,0,161
CRM,161.83,162.9,163.25,161.83,0,0,0,"8,075"
CVX,116.38,117.05,117.33,116.38,0,0,0,"11,214"
DE,164.12,164.25,166.25,164.12,0,0,0,16
DG,124.63,123.91,125.58,124.63,0,0,0,1
DHR,133.51,128.06,134,133.51,0,0,0,131
DIS,134.14,135.07,135.25,134.14,0,0,0,"77,717"
DLR,118.8,112.91,122,118.8,0,0,0,166
DLTR,109.45,108,110.33,109.45,0,0,0,220
DRI,117.81,115.02,119.44,117.81,0,0,0,196
ECL,184.32,166.39,204.41,184.32,0,0,0,401
EDU,95.74,94.01,97,95.74,0,0,0,0
EL,170.25,168.25,172.8,170.25,0,0,0,920
ETR,96.22,93.52,98,96.22,0,0,0,0
EW,178.66,175,184.95,178.66,0,0,0,206
EXAS,101.65,100.03,102.48,101.65,0,0,0,"1,356"
EXPE,128.23,122.28,122.9,128.23,0,0,0,"4,411"
FANG,99.12,100.1,101.51,99.12,0,0,0,334
FB,192.53,194.2,194.4,192.53,0,0,0,"149,710"
FDX,187.04,187.52,189,187.04,0,0,0,"6,380"
FIS,117.8,108.73,130.03,117.8,0,0,0,0
FISV,85.46,82.7,86.11,85.46,0,0,0,"1,537"
FIVE,143.58,143.61,146.39,143.58,0,0,0,0
GD,174.57,170,180,174.57,0,0,0,1
GOOG,1162.61,1168,1169.75,1162.61,0,0,0,"10,481"
